"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Lakhs)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 20-Oct-2023"
"NIFTY 50","24,798.65","24,882.00","24,445.80","24,781.10","24,472.10","-","-309.00","-1.25","27,94,84,697","32,80,142.63","26,277.35","18,926.65","-5.11","25.22"
"ICICIBANK","1,266.60","1,284.90","1,259.75","1,259.05","1,268.35","-","9.30","0.74","2,00,90,801","2,55,763.93","1,362.35","899.00","-5.30","35.89"
"NESTLEIND","2,354.50","2,385.00","2,340.05","2,354.65","2,357.00","-","2.35","0.10","9,67,131","22,866.07","2,778.00","2,326.10","-12.94","-90.32"
"INFY","1,858.20","1,877.80","1,846.95","1,852.75","1,853.55","-","0.80","0.04","41,25,240","76,657.68","1,991.45","1,351.65","-2.84","29.73"
"BHARTIARTL","1,692.00","1,712.90","1,687.35","1,692.55","1,690.00","-","-2.55","-0.15","30,70,057","52,080.14","1,779.00","895.45","-1.14","79.04"
"HINDUNILVR","2,685.10","2,710.00","2,673.75","2,693.55","2,688.95","-","-4.60","-0.17","12,72,253","34,208.59","3,035.00","2,172.05","-9.94","7.48"
"ITC","483.65","488.40","480.80","483.65","482.50","-","-1.15","-0.24","1,22,99,288","59,503.96","528.50","399.35","-6.34","9.92"
"SUNPHARMA","1,892.00","1,906.00","1,881.00","1,897.00","1,889.80","-","-7.20","-0.38","11,92,915","22,560.29","1,960.35","1,068.35","1.17","65.26"
"WIPRO","549.80","555.50","543.85","548.10","546.00","-","-2.10","-0.38","92,39,150","50,710.00","579.90","375.05","1.18","39.20"
"HCLTECH","1,829.80","1,852.00","1,819.50","1,843.60","1,822.25","-","-9.35","-0.51","20,89,660","38,266.69","1,888.50","1,212.05","3.56","44.82"
"TECHM","1,703.40","1,726.95","1,691.45","1,701.20","1,692.05","-","-9.15","-0.54","24,84,594","42,411.03","1,761.85","1,098.15","4.59","44.92"
"ULTRACEMCO","10,751.00","11,080.80","10,740.00","10,869.30","10,803.40","-","-65.90","-0.61","7,93,887","86,422.62","12,138.00","8,155.55","-8.25","27.94"
"SBILIFE","1,701.00","1,726.95","1,672.90","1,711.85","1,701.00","-","-10.85","-0.63","12,90,296","21,981.74","1,936.00","1,290.75","-9.20","24.62"
"DRREDDY","6,727.00","6,755.00","6,632.30","6,697.40","6,654.00","-","-43.40","-0.65","3,80,997","25,510.19","7,107.45","5,205.55","1.70","19.63"
"BRITANNIA","5,787.40","5,804.00","5,711.80","5,778.30","5,740.00","-","-38.30","-0.66","3,20,607","18,450.48","6,469.90","4,347.70","-7.79","25.04"
"KOTAKBANK","1,791.95","1,795.50","1,758.85","1,789.20","1,776.55","-","-12.65","-0.71","54,94,382","97,158.81","1,942.00","1,543.85","-7.42","-0.36"
"ADANIPORTS","1,374.70","1,387.10","1,353.90","1,375.50","1,365.00","-","-10.50","-0.76","24,67,299","33,693.93","1,621.40","754.50","-5.27","71.72"
"HDFCBANK","1,730.05","1,740.00","1,710.70","1,728.70","1,714.80","-","-13.90","-0.80","1,94,37,640","3,34,671.45","1,794.00","1,363.55","-1.53","12.59"
"BAJAJ-AUTO","10,500.50","10,614.95","10,320.00","10,500.50","10,415.95","-","-84.55","-0.81","11,91,148","1,24,538.22","12,774.00","5,236.00","-13.18","88.88"
"CIPLA","1,523.00","1,526.70","1,501.50","1,523.75","1,510.85","-","-12.90","-0.85","17,57,792","26,567.27","1,702.05","1,132.00","-7.83","25.84"
"TITAN","3,374.90","3,421.50","3,319.25","3,363.25","3,330.00","-","-33.25","-0.99","8,82,086","29,570.61","3,886.95","3,055.65","-12.31","1.95"
"EICHERMOT","4,810.45","4,826.20","4,749.65","4,810.45","4,759.45","-","-51.00","-1.06","5,28,037","25,241.70","5,105.00","3,275.00","-4.11","36.72"
"AXISBANK","1,194.25","1,198.00","1,173.35","1,190.30","1,177.00","-","-13.30","-1.12","72,56,246","85,895.09","1,339.65","951.40","-5.56","19.93"
"HEROMOTOCO","5,263.00","5,274.40","5,155.00","5,242.25","5,181.75","-","-60.50","-1.15","5,31,833","27,611.92","6,246.25","3,041.50","-13.93","61.18"
"TRENT","7,634.95","7,666.50","7,469.40","7,606.55","7,517.50","-","-89.05","-1.17","6,10,564","45,963.50","8,345.00","1,945.00","0.43","268.21"
"APOLLOHOSP","7,019.95","7,037.25","6,871.55","6,986.40","6,900.00","-","-86.40","-1.24","1,12,233","7,778.25","7,316.95","4,726.00","-2.69","38.46"
"ASIANPAINT","3,054.00","3,057.95","2,995.25","3,049.20","3,010.85","-","-38.35","-1.26","5,41,838","16,350.12","3,422.95","2,670.10","-9.07","-3.19"
"JSWSTEEL","981.00","983.30","960.40","981.45","967.55","-","-13.90","-1.42","13,18,146","12,786.02","1,063.00","723.00","-1.82","25.25"
"TCS","4,066.00","4,089.80","4,006.35","4,079.85","4,020.00","-","-59.85","-1.47","19,28,049","78,178.53","4,592.25","3,311.00","-6.29","14.91"
"ONGC","278.00","278.15","270.00","276.60","272.00","-","-4.60","-1.66","1,00,28,511","27,418.95","345.00","179.90","-5.40","45.44"
"TATACONSUM","1,023.30","1,023.85","994.50","1,017.05","999.85","-","-17.20","-1.69","27,42,491","27,528.30","1,256.44","863.37","-17.96","11.05"
"BAJAJFINSV","1,758.55","1,770.95","1,716.15","1,758.40","1,727.55","-","-30.85","-1.75","31,42,294","54,726.51","2,029.90","1,419.05","-10.13","5.35"
"MARUTI","12,215.95","12,289.80","11,840.00","12,175.90","11,955.00","-","-220.90","-1.81","9,04,901","1,08,429.22","13,680.00","9,737.65","-5.48","11.17"
"SHRIRAMFIN","3,313.30","3,391.00","3,240.00","3,313.30","3,247.70","-","-65.60","-1.98","39,38,252","1,30,567.63","3,652.25","1,760.85","-7.86","73.42"
"RELIANCE","2,738.40","2,752.00","2,680.45","2,738.40","2,684.15","-","-54.25","-1.98","79,15,980","2,14,348.11","3,217.60","2,220.30","-9.60","16.86"
"BAJFINANCE","6,800.00","6,833.00","6,643.65","6,780.90","6,645.75","-","-135.15","-1.99","17,00,619","1,14,483.80","7,884.90","6,187.80","-11.93","-14.05"
"HDFCLIFE","745.80","749.75","724.35","745.85","729.75","-","-16.10","-2.16","33,46,783","24,674.49","761.20","511.40","2.40","13.79"
"NTPC","422.85","426.30","413.45","425.00","415.55","-","-9.45","-2.22","1,42,42,323","59,669.64","448.45","227.75","-1.93","72.51"
"LT","3,585.00","3,591.65","3,500.00","3,585.60","3,504.00","-","-81.60","-2.28","13,63,574","48,158.98","3,919.90","2,856.15","-7.43","16.58"
"INDUSINDBK","1,309.10","1,312.20","1,271.25","1,308.25","1,277.45","-","-30.80","-2.35","41,83,194","53,779.98","1,694.50","1,271.25","-13.91","-13.26"
"TATAMOTORS","905.00","906.10","875.25","903.30","881.50","-","-21.80","-2.41","1,36,17,490","1,20,653.68","1,179.00","621.85","-9.41","32.61"
"HINDALCO","733.00","745.80","718.30","739.60","721.00","-","-18.60","-2.51","56,72,302","41,454.32","772.65","448.75","3.72","52.68"
